id,region,spp,bandNumber,enc,date,mass,wing,tl,age,sex
g435-3576h,Atlanta,NOCA,2641-63316,B,2014-05-06,36.7,92,100,AHY,M
c703-3173x,Atlanta,NOCA,2641-63362,B,2014-06-12,40.4,93,98,SY,M
b264-7018g,Atlanta,CACH,2710-53995,B,2015-04-21,9.7,60,50,AHY,M
y107-5673o,Atlanta,AMRO,1352-27606,B,2015-04-21,80.1,130,97,AHY,F
w113-8447n,Atlanta,AMRO,1352-27609,B,2015-04-26,73.8,130,96,AHY,M
f364-6694j,Atlanta,NOCA,2641-63899,B,2015-04-26,42.1,86,100,AHY,F
m960-6549h,Atlanta,NOCA,2641-63900,B,2015-04-26,42.7,92,102,AHY,F
e424-8770v,Atlanta,AMRO,1352-27610,B,2015-04-26,72.7,130,97,AHY,F
k126-5246c,Atlanta,AMRO,1352-27614,B,2015-04-27,75,120,87,AHY,F
j492-4323t,Atlanta,GRCA,2657-47401,B,2015-04-27,38.3,87,90,AHY,M
j520-6966c,Atlanta,GRCA,2657-47402,B,2015-04-27,32.6,90,94,AHY,M
f842-2266b,Atlanta,NOCA,2651-47398,B,2015-04-28,47,95,94,AHY,F
w214-7838z,Atlanta,NOCA,2651-47400,B,2015-04-28,40.4,92,101,AHY,M
j550-7585q,Atlanta,NOCA,2651-47397,B,2015-04-28,42.6,90,100,AHY,F
c999-2923h,Atlanta,NOCA,2651-47396,B,2015-04-28,38.5,88,92,AHY,F
a204-9206d,Atlanta,NOCA,2641-63393,R,2015-04-28,40.3,92,101,AHY,F
b764-5255i,Atlanta,CACH,2710-53997,B,2015-04-30,8.8,52,49,AHY,F
e618-6927o,Atlanta,CACH,2710-53998,B,2015-04-30,8.5,58,57,AHY,F
o328-8086c,Atlanta,NOCA,1352-27613,B,2015-04-30,43.2,95,92,AHY,F
d967-4587b,Atlanta,NOCA,2651-47403,B,2015-04-30,38.6,87,96,AHY,F
w194-2593e,Atlanta,CACH,2750-41601,B,2015-04-30,9.7,64,52,AHY,M
c745-9530g,Atlanta,CACH,2750-41602,B,2015-04-30,9.6,63,55,AHY,F
z245-7007j,Atlanta,CACH,2750-41603,B,2015-04-30,8.4,58,49,AHY,F
r356-5264b,Atlanta,CACH,2750-41604,B,2015-04-30,9.2,60,52,AHY,M
z754-5139v,Atlanta,AMRO,1352-27615,B,2015-05-01,70,121,92,AHY,F
t572-2781q,Atlanta,NOCA,2641-63896,B,2015-05-02,35.8,90,97,AHY,M
q387-2835n,Atlanta,NOCA,2651-47405,B,2015-05-02,39.9,91,93,AHY,F
z322-5051p,Atlanta,AMRO,1342-16703,B,2015-05-05,71.5,126,95,AHY,M
w954-5845p,Atlanta,CACH,2750-41606,B,2015-05-06,9.6,61,52,AHY,M
b554-9549t,Atlanta,CACH,2750-41607,B,2015-05-06,9.8,59,51,AHY,M
k552-8285z,Atlanta,CACH,2750-41608,B,2015-05-06,8.8,59,50,AHY,F
a894-1255z,Atlanta,NOCA,2651-47395,B,2015-05-06,42.5,92,98,AHY,F
p794-3376g,Atlanta,NOCA,2651-47394,B,2015-05-07,40,92,97,AHY,F
h952-6370e,Atlanta,CACH,2750-41609,B,2015-05-07,8.3,59,50,AHY,F
e338-2440l,Atlanta,CACH,2750-41610,B,2015-05-07,8.7,61,52,AHY,M
q733-1261v,Atlanta,NOCA,2651-47393,B,2015-05-07,37.9,89,91,AHY,F
q201-4751q,Atlanta,NOCA,2641-63316,R,2015-05-11,36.2,98,96,AHY,M
e377-1726d,Atlanta,CACH,2750-41706,B,2015-05-15,9,55,45,AHY,F
q124-5481p,Atlanta,NOCA,2651-47423,B,2015-05-16,42.2,86,87,AHY,F
c709-5996m,Atlanta,NOCA,2651-47424,B,2015-05-16,42.5,93,101,AHY,M
t860-1140x,Atlanta,NOCA,2651-47425,B,2015-05-16,41.6,90,95,AHY,F
q492-9199i,Atlanta,AMRO,1342-16711,B,2015-05-16,70.1,131,98,AHY,M
d472-8221b,Atlanta,AMRO,1342-16706,B,2015-05-16,70.4,128,94,AHY,F
d790-3785p,Atlanta,NOCA,2651-47392,B,2015-05-17,39.6,98,104,AHY,M
o544-2517n,Atlanta,NOCA,2651-47391,B,2015-05-17,41.2,94,105,AHY,M
x443-7680q,Atlanta,NOCA,2651-47390,B,2015-05-17,40.5,93,95,AHY,M
k165-2488w,Atlanta,NOCA,2651-47303,B,2015-05-17,38.7,93,96,AHY,F
j603-3901o,Atlanta,NOCA,2651-47388,B,2015-05-18,43.4,96,101,AHY,M
n956-8547i,Atlanta,AMRO,1342-16707,B,2015-05-21,66.7,130,96,AHY,F
y287-4424h,Atlanta,AMRO,1342-16710,B,2015-05-21,72.6,129,95,AHY,F
p920-3993l,Atlanta,CACH,2750-41615,B,2015-05-22,9.5,65,52,AHY,M
g535-1002g,Atlanta,NOCA,2651-47386,B,2015-05-26,36.1,94,97,AHY,M
n592-3454f,Atlanta,CACH,2750-41710,B,2015-05-26,7.8,58,49,AHY,F
l895-7332b,Atlanta,CACH,2750-41708,B,2015-05-26,8.4,58,48,AHY,F
n756-2749u,Atlanta,AMRO,1352-27700,B,2015-05-26,69.1,125,98,AHY,F
b866-3465e,Atlanta,NOCA,2651-47426,B,2015-05-27,40.5,95,103,AHY,M
u121-6831k,Atlanta,NOCA,2651-47428,B,2015-05-27,43.3,91,96,AHY,F
c884-2773f,Atlanta,GRCA,2651-47429,B,2015-05-28,33.6,86,89,AHY,F
w448-4234v,Atlanta,GRCA,2651-47430,B,2015-05-28,32.1,90,87,AHY,M
y645-2851c,Atlanta,AMRO,1352-27698,B,2015-05-28,74.9,125,100,AHY,F
i450-6816i,Atlanta,NOCA,2651-47431,B,2015-05-29,36.9,88,94,AHY,F
u756-3437s,Atlanta,NOCA,2651-47432,B,2015-05-29,39.5,94,100,AHY,F
w264-7136c,Atlanta,CACH,2750-41716,B,2015-05-30,9.7,59,49,AHY,F
c494-8768j,Atlanta,CACH,2750-41717,B,2015-05-30,8.5,59,49,AHY,M
z420-8514d,Atlanta,CACH,2750-41722,B,2015-05-30,9.4,62,53,AHY,M
k601-4377z,Atlanta,CACH,2750-41723,B,2015-05-30,9.3,60,50,AHY,F
n471-1417d,Atlanta,NOCA,2651-47435,B,2015-05-30,38.1,91,109,AHY,M
b487-3176x,Atlanta,NOCA,2651-47416,B,2015-05-31,40.2,91,100,AHY,M
v618-7267i,Atlanta,AMRO,1352-27697,B,2015-05-31,65.4,126,102,AHY,M
h791-6304u,Atlanta,GRCA,2651-47436,B,2015-05-31,32.5,85,90,AHY,M
s596-7459m,Atlanta,GRCA,2651-47437,B,2015-05-31,34.6,90,99,AHY,M
g255-7149m,Atlanta,CACH,2750-41616,B,2015-06-01,9.8,65,55,AHY,M
o328-7464q,Atlanta,NOCA,2651-47385,B,2015-06-01,40.5,95,100,AHY,M
l218-5588e,Atlanta,NOCA,2651-47384,B,2015-06-01,43.4,93,98,AHY,F
w356-3388b,Atlanta,NOCA,2651-47302,B,2015-06-01,40.4,94,100,AHY,F
y649-6554d,Atlanta,CACH,2750-41617,B,2015-06-01,10.3,60,54,AHY,M
g648-8370y,Atlanta,NOCA,2651-47382,B,2015-06-02,38,95,97,AHY,F
z198-9619k,Atlanta,NOCA,2651-47381,B,2015-06-02,40.2,93,98,AHY,F
k991-9288r,Atlanta,NOCA,2651-47439,B,2015-06-02,39,90,100,AHY,M
l442-9215b,Atlanta,NOCA,2651-47440,B,2015-06-02,36.9,92,106,AHY,M
c247-2853x,Atlanta,GRCA,2651-47445,B,2015-06-02,33.1,92,95,AHY,F
j828-9298j,Atlanta,CACH,2750-41618,B,2015-06-03,8.7,56,49,AHY,F
u660-1439v,Atlanta,NOCA,2651-47380,B,2015-06-03,40.7,95,100,AHY,M
g989-9212j,Atlanta,NOCA,2651-47414,B,2015-06-05,40.6,94,94,AHY,M
n577-4977n,Atlanta,NOCA,2651-47408,B,2015-06-05,36.4,94,100,AHY,M
c963-3525j,Atlanta,CACH,2750-41729,B,2015-06-06,9.6,56,48,AHY,F
d380-7713s,Atlanta,CACH,2750-41730,B,2015-06-06,9.3,59,51,AHY,F
z874-8804z,Atlanta,CACH,2750-41731,B,2015-06-06,10.6,61,51,AHY,M
g796-6334y,Atlanta,CACH,2710-53723,R,2015-06-06,9.4,62,50,AHY,F
i692-2904r,Atlanta,CACH,2750-41620,B,2015-06-06,9.8,61,52,AHY,F
w423-4626g,Atlanta,AMRO,1342-16726,B,2015-06-06,72.8,126,97,AHY,M
k372-3299n,Atlanta,CACH,2750-41727,B,2015-06-07,8,60,51,AHY,F
i289-4851t,Atlanta,CACH,2750-41726,B,2015-06-07,7.6,56,50,AHY,F
h815-5884z,Atlanta,NOCA,2651-47415,B,2015-06-08,44.5,88,95,AHY,F
u851-9807g,Atlanta,NOCA,2651-47447,B,2015-06-09,39.2,89,95,AHY,M
c402-8927d,Atlanta,GRCA,2651-47377,B,2015-06-10,34,91,94,AHY,M
h628-8280i,Atlanta,NOCA,2651-47378,B,2015-06-10,41.8,96,102,AHY,M
e247-2142e,Atlanta,NOCA,2651-47448,B,2015-06-10,46.3,90,95,AHY,F
c462-6074q,Atlanta,CACH,2750-41736,B,2015-06-14,9.1,58,48,AHY,F
c419-5391e,Atlanta,NOCA,2641-63371,R,2015-06-14,38.9,91,96,AHY,M
i189-3041o,Atlanta,NOCA,2651-47451,B,2015-06-16,42,95,100,AHY,M
b186-3559u,Atlanta,NOCA,2651-47450,B,2015-06-16,38.1,91,95,AHY,M
m720-6269n,Atlanta,NOCA,2651-47374,B,2015-06-17,38.2,97,101,AHY,M
d642-4158u,Atlanta,NOCA,2651-47373,B,2015-06-17,39.2,96,97,AHY,M
l306-8142f,Atlanta,NOCA,2651-47371,B,2015-06-17,43.9,97,102,AHY,M
j381-1235n,Atlanta,NOCA,2651-47370,B,2015-06-17,40.1,96,105,AHY,M
b468-9797k,Atlanta,NOCA,2651-47369,B,2015-06-17,39.6,96,100,AHY,M
u821-7238c,Atlanta,NOCA,2651-47368,B,2015-06-17,38.6,95,91,AHY,F
t220-1816n,Atlanta,NOCA,2651-47367,B,2015-06-17,34.3,93,98,AHY,F
x854-3629f,Atlanta,NOCA,2651-47364,B,2015-06-17,41.9,96,103,AHY,M
w629-1762f,Atlanta,NOCA,2651-47452,B,2015-06-17,42.4,89,95,AHY,F
q496-9975i,Atlanta,AMRO,1352-27680,B,2015-06-18,66.6,122,96,AHY,M
r710-7069y,Atlanta,GRCA,2651-47453,B,2015-06-18,34.3,90,95,AHY,M
d896-8172y,Atlanta,NOCA,2651-47363,B,2015-06-18,39.5,97,98,AHY,M
o314-1282m,Atlanta,AMRO,1342-16729,B,2015-06-18,76,131,100,AHY,F
a317-7258p,Atlanta,AMRO,1342-16735,B,2015-06-22,64.7,130,98,AHY,M
e284-4950j,Atlanta,GRCA,2651-47362,B,2015-06-22,39.5,92,94,AHY,F
m611-4272h,Atlanta,NOCA,2651-47360,B,2015-06-24,37.8,98,99,AHY,M
m104-5792i,Atlanta,NOCA,2651-47454,B,2015-06-25,38,86,93,AHY,F
y983-1623a,Atlanta,CACH,2750-41622,B,2015-06-25,9.1,64,54,AHY,M
c595-5938i,Atlanta,NOCA,2651-47359,B,2015-06-26,38.9,93,97,AHY,M
l129-7757t,Atlanta,GRCA,2651-47358,B,2015-06-30,34.1,89,93,AHY,M
o624-3746b,Atlanta,AMRO,1342-16738,B,2015-07-06,73.1,120,93,AHY,F
y105-2056d,Atlanta,NOCA,2651-47357,B,2015-07-07,42.5,93,97,AHY,M
s631-9032y,Atlanta,NOCA,2651-52401,B,2016-03-21,43,91,95,AHY,F
u334-9288n,Atlanta,NOCA,2641-96779,B,2016-03-24,44.5,98,103,AHY,M
e233-9711p,Atlanta,CACH,2730-24998,B,2016-03-24,9.5,63,50,AHY,M
k245-9533d,Atlanta,CACH,2730-24997,B,2016-03-24,9.1,55,46,AHY,F
h354-8710z,Atlanta,NOCA,2641-63318,R,2016-03-28,48.1,94,93,AHY,F
q908-3221l,Atlanta,NOCA,2641-96783,B,2016-03-29,40.6,98,101,AHY,M
w101-6713t,Atlanta,NOCA,2641-96784,B,2016-03-29,43.9,96,100,AHY,M
z992-1818l,Atlanta,NOCA,2641-96785,B,2016-03-29,42.1,97,101,AHY,M
v339-2948k,Atlanta,NOCA,2641-96780,B,2016-03-29,39.5,94,98,AHY,F
m925-8503p,Atlanta,NOCA,2641-96786,B,2016-03-29,40.9,91,98,AHY,M
j886-4282y,Atlanta,NOCA,2641-96787,B,2016-03-29,39.8,92,99,AHY,F
g385-6299t,Atlanta,AMRO,1292-64373,B,2016-04-04,63.4,132,101,AHY,M
t235-5471d,Atlanta,NOCA,2641-96781,B,2016-04-04,40.3,91,95,AHY,F
b508-9359v,Atlanta,NOCA,2641-96788,B,2016-04-04,41.2,97,101,AHY,M
y218-9337a,Atlanta,NOCA,2711-58016,B,2016-04-04,45.1,93,95,AHY,F
z349-4588s,Atlanta,NOCA,2641-96790,B,2016-04-04,37.6,92,94,AHY,F
p534-3098t,Atlanta,NOCA,2651-52404,B,2016-04-05,41.1,96,102,AHY,M
i721-7024h,Atlanta,NOCA,2711-57711,B,2016-04-05,43.4,94,98,AHY,M
s249-6295j,Atlanta,NOCA,2651-52408,B,2016-04-05,36.2,89,96,AHY,M
t249-2775z,Atlanta,NOCA,2641-96791,B,2016-04-06,41.2,95,99,AHY,M
y358-5551c,Atlanta,AMRO,1292-64376,B,2016-04-06,75.1,134,98,AHY,M
y132-6940g,Atlanta,NOCA,2641-96792,B,2016-04-06,38.5,91,96,AHY,F
e456-6793j,Atlanta,NOCA,2651-52409,B,2016-04-06,40.7,92,97,AHY,M
y856-3498z,Atlanta,NOCA,2641-96793,B,2016-04-08,42.4,93,97,AHY,F
s404-5823p,Atlanta,NOCA,2641-96794,B,2016-04-08,41.5,98,105,AHY,M
s299-6617q,Atlanta,NOCA,2641-96795,B,2016-04-08,42.1,95,97,AHY,M
p337-2900s,Atlanta,NOCA,2641-96796,B,2016-04-08,41.6,97,100,AHY,F
a138-2383w,Atlanta,NOCA,2651-52410,B,2016-04-08,40.2,94,100,AHY,M
f187-5764h,Atlanta,NOCA,2651-52411,B,2016-04-08,44.1,95,100,AHY,M
s513-3289l,Atlanta,CACH,2730-24996,B,2016-04-11,9.8,61,51,AHY,M
h394-5952i,Atlanta,NOCA,2651-52412,B,2016-04-11,41.8,89,89,AHY,M
o186-9724f,Atlanta,NOCA,2651-52413,B,2016-04-11,42.3,88,93,AHY,F
j328-5714e,Atlanta,NOCA,2651-52414,B,2016-04-11,41.7,95,106,AHY,M
t439-6445t,Atlanta,NOCA,2651-52415,B,2016-04-11,39.6,95,100,AHY,M
e618-1806l,Atlanta,CACH,2730-24995,B,2016-04-14,9.7,62,51,AHY,M
t672-4702u,Atlanta,CACH,2750-41420,B,2016-04-14,8.9,58,50,AHY,F
u511-4718m,Atlanta,CACH,2750-41418,B,2016-04-14,8.5,58,53,AHY,F
b271-2415l,Atlanta,AMRO,1292-64379,B,2016-04-15,70.4,128,95,AHY,M
p948-5781x,Atlanta,NOCA,2701-39020,B,2016-04-15,42.6,92,99,AHY,M
c130-6265o,Atlanta,NOCA,2641-96798,B,2016-04-15,40.3,91,93,AHY,F
y211-9146t,Atlanta,GRCA,2651-52406,B,2016-04-15,36.3,92,90,AHY,M
w181-1664q,Atlanta,GRCA,2651-52405,B,2016-04-15,33.8,87,92,AHY,M
w692-3419c,Atlanta,NOCA,2651-52407,B,2016-04-15,39.3,91,92,AHY,M
j474-9531i,Atlanta,NOCA,2651-52417,B,2016-04-15,33.6,91,97,AHY,F
j935-1011p,Atlanta,CACH,2750-41407,B,2016-04-15,10.2,60,50,AHY,F
e974-5748v,Atlanta,CACH,2750-41419,B,2016-04-15,9.2,60,49,AHY,F
o288-8726i,Atlanta,AMRO,1352-27754,B,2016-04-16,78.7,125,89,AHY,F
u912-4329d,Atlanta,NOCA,2651-52418,B,2016-04-18,41.4,97,103,AHY,M
j849-6984j,Atlanta,CACH,2750-41421,B,2016-04-18,9.8,60,52,AHY,M
w423-6069b,Atlanta,NOCA,2651-52419,B,2016-04-18,40.4,91,100,AHY,F
o932-9405q,Atlanta,NOCA,2651-52420,B,2016-04-18,41.2,91,100,AHY,F
g792-8292w,Atlanta,NOCA,2701-39021,B,2016-04-18,40.8,94,98,AHY,F
h436-4433x,Atlanta,CACH,2730-24994,B,2016-04-18,10.3,65,56,AHY,M
t512-8744t,Atlanta,NOCA,2641-96797,B,2016-04-18,41.7,96,97,AHY,M
j619-9116w,Atlanta,CACH,2750-41422,B,2016-04-20,9.4,58,50,AHY,F
w400-9088f,Atlanta,NOCA,2651-52421,B,2016-04-20,41.9,90,90,AHY,F
j165-7265i,Atlanta,AMRO,1292-64380,B,2016-04-20,74.6,126,96,AHY,F
p750-2562d,Atlanta,NOCA,2701-39023,B,2016-04-21,40.3,95,97,AHY,M
z122-4066m,Atlanta,NOCA,2701-39019,B,2016-04-21,42.7,95,100,AHY,M
s446-6208v,Atlanta,GRCA,2651-52422,B,2016-04-25,32.4,90,86,AHY,M
k305-9288e,Atlanta,GRCA,2641-63325,R,2016-04-25,35.4,92,97,AHY,M
c869-6682i,Atlanta,AMRO,1352-27751,B,2016-04-25,84,127,96,AHY,F
o380-1767h,Atlanta,AMRO,1352-27755,B,2016-04-26,81.3,127,95,AHY,F
d671-4163r,Atlanta,NOCA,2651-52423,B,2016-04-26,38.5,92,95,AHY,F
i825-9972k,Atlanta,AMRO,1292-64381,B,2016-04-27,72.3,124,98,AHY,F
v480-2604i,Atlanta,GRCA,2641-96799,B,2016-04-27,34.4,90,92,AHY,F
v983-2544u,Atlanta,CACH,2730-24990,B,2016-04-28,9.2,61,52,AHY,M
m863-5504c,Atlanta,NOCA,2641-96800,B,2016-04-28,40.4,95,98,AHY,M
q791-6660p,Atlanta,NOCA,2651-52424,B,2016-04-28,40.6,93,97,AHY,M
q219-7210i,Atlanta,NOCA,2651-52425,B,2016-04-28,37.9,90,92,AHY,F
w412-6203o,Atlanta,NOCA,2651-52426,B,2016-04-28,38.7,90,97,AHY,F
a416-6510e,Atlanta,NOCA,2651-52427,B,2016-04-28,40.8,91,100,AHY,M
x833-8871n,Atlanta,NOCA,2651-52428,B,2016-04-28,38,95,96,AHY,F
j462-4525m,Atlanta,CACH,2730-24991,B,2016-04-30,9,58,49,AHY,M
l463-3748y,Atlanta,GRCA,2701-39018,B,2016-04-30,35,95,98,AHY,F
d375-6640h,Atlanta,CACH,2730-24993,B,2016-04-30,8.6,59,48,AHY,F
t138-4877d,Atlanta,CACH,2750-41424,B,2016-05-02,9.1,57,48,AHY,F
a297-3369q,Atlanta,CACH,2710-53747,R,2016-05-03,10,65,54,AHY,M
t943-9834h,Atlanta,AMRO,1292-64383,B,2016-05-04,74.4,131,98,AHY,M
n383-6176i,Atlanta,NOCA,2701-39016,B,2016-05-04,44.5,90,94,AHY,F
v316-8893w,Atlanta,NOCA,2701-39015,B,2016-05-05,37.7,96,99,AHY,M
a134-6397b,Atlanta,NOCA,2701-39014,B,2016-05-05,37,90,95,AHY,F
s268-4905v,Atlanta,GRCA,2701-39013,B,2016-05-05,32.8,90,93,AHY,M
h802-8414u,Atlanta,NOCA,2701-39012,B,2016-05-05,37.9,96,103,AHY,M
d479-2029o,Atlanta,NOCA,2701-39011,B,2016-05-05,40.3,94,101,AHY,M
x551-5661u,Atlanta,NOCA,2701-39005,B,2016-05-05,39.2,88,91,AHY,F
x162-7980v,Atlanta,GRCA,2701-39007,B,2016-05-05,35.7,90,85,AHY,M
x352-7717o,Atlanta,GRCA,2701-39010,B,2016-05-05,40.6,86,87,AHY,F
u586-8516t,Atlanta,NOCA,2701-39008,B,2016-05-05,40.2,93,98,AHY,M
u848-1828i,Atlanta,GRCA,2701-39006,B,2016-05-05,38.3,88,90,AHY,F
a713-1824a,Atlanta,GRCA,2711-57714,B,2016-05-06,34.8,92,94,AHY,M
o196-2320i,Atlanta,CACH,2750-41425,B,2016-05-06,9.1,60,49,AHY,F
h173-5048d,Atlanta,NOCA,2711-57719,B,2016-05-06,42.8,96,106,AHY,M
f497-6033r,Atlanta,CACH,2730-24986,B,2016-05-06,8.9,62,50,AHY,M
f402-1835j,Atlanta,AMRO,1352-27758,B,2016-05-11,72.2,135,102,AHY,M
a558-2057x,Atlanta,CACH,2730-24985,B,2016-05-14,9.6,65,52,AHY,M
p991-8688h,Atlanta,CACH,2730-24984,B,2016-05-14,9.2,60,50,AHY,F
o591-3813q,Atlanta,NOCA,2771-57721,B,2016-05-14,42.1,88,92,AHY,F
c931-1311m,Atlanta,CACH,2750-41426,B,2016-05-14,8.1,57,47,AHY,F
a347-3744e,Atlanta,CACH,2710-53727,R,2016-05-14,9.6,62,51,AHY,F
y740-4665n,Atlanta,CACH,2650-41427,B,2016-05-14,8.5,59,48,AHY,F
i621-1649l,Atlanta,NOCA,2711-57722,B,2016-05-18,45.6,90,90,AHY,F
m277-7315i,Atlanta,AMRO,1352-27761,B,2016-05-18,73.9,134,97,AHY,M
o528-7036r,Atlanta,NOCA,2651-52441,B,2016-05-20,42.7,95,103,AHY,M
m269-3859j,Atlanta,GRCA,2651-52442,B,2016-05-21,36.1,92,96,AHY,M
q537-9508v,Atlanta,NOCA,2651-47394,R,2016-05-23,47.4,90,99,AHY,F
l261-3149k,Atlanta,CACH,2750-41428,B,2016-05-23,9.7,62,53,AHY,F
y682-6149r,Atlanta,NOCA,2651-52443,B,2016-05-23,40,92,100,AHY,F
u747-9365u,Atlanta,CACH,2750-41429,B,2016-05-23,8.8,59,49,AHY,F
w373-1593u,Atlanta,CACH,2750-41430,B,2016-05-23,8.3,58,48,AHY,F
r145-3245t,Atlanta,CACH,2750-41431,B,2016-05-23,10,59,48,AHY,F
r945-2635y,Atlanta,CACH,2750-41432,B,2016-05-23,9.1,60,51,AHY,F
k364-8933p,Atlanta,CACH,2750-41433,B,2016-05-23,9.1,57,48,AHY,F
l389-7791o,Atlanta,CACH,2730-24982,B,2016-05-24,8,60,50,AHY,F
w271-3971m,Atlanta,CACH,2730-24980,B,2016-05-24,8.6,62,53,AHY,M
o538-5482w,Atlanta,CACH,2730-24979,B,2016-05-24,9.9,64,53,AHY,M
l187-6488z,Atlanta,GRCA,2701-39001,B,2016-05-24,35.3,93,97,AHY,F
e113-4256p,Atlanta,AMRO,1352-27762,B,2016-05-24,72.5,131,100,AHY,F
w887-2155d,Atlanta,CACH,2730-24978,B,2016-05-26,9.2,63,52,AHY,F
g170-1050p,Atlanta,GRCA,2701-39041,B,2016-05-27,35.2,89,91,AHY,M
h801-7836l,Atlanta,NOCA,2701-39004,B,2016-05-27,43.4,98,105,AHY,M
u382-9712d,Atlanta,NOCA,2701-39043,B,2016-05-27,38.3,95,98,AHY,M
j682-4633v,Atlanta,GRCA,2701-39042,B,2016-05-27,32.4,89,90,AHY,M
u223-4429q,Atlanta,NOCA,2701-39039,B,2016-06-01,39.6,91,96,AHY,F
a661-5511k,Atlanta,NOCA,2641-63316,R,2016-06-01,39.4,94,95,AHY,M
k706-8263t,Atlanta,NOCA,2701-39038,B,2016-06-01,44.6,96,104,AHY,M
v871-4751i,Atlanta,CACH,2730-24975,B,2016-06-01,9.3,59,49,AHY,F
n762-9110w,Atlanta,GRCA,2651-52444,B,2016-06-01,35.6,90,89,AHY,F
s723-7315f,Atlanta,GRCA,2651-52445,B,2016-06-01,34.2,87,88,AHY,M
r623-2328l,Atlanta,CACH,2750-41436,B,2016-06-01,9.2,59,49,AHY,F
k229-9327w,Atlanta,CACH,2750-41437,B,2016-06-01,9.2,62,48,AHY,F
t348-7231d,Atlanta,NOCA,2701-39037,B,2016-06-02,42.8,89,96,AHY,F
g306-7621v,Atlanta,NOCA,2701-39036,B,2016-06-02,43.4,99,109,AHY,M
g947-4549k,Atlanta,GRCA,2701-39034,B,2016-06-02,36.5,96,98,AHY,M
m506-9163s,Atlanta,NOCA,2701-39035,B,2016-06-02,43.1,91,98,AHY,F
x114-8242j,Atlanta,AMRO,1292-64394,B,2016-06-03,78.3,128,91,AHY,F
r231-8593l,Atlanta,NOCA,2701-39029,B,2016-06-07,41.4,95,96,AHY,M
b344-8486w,Atlanta,NOCA,2651-52447,B,2016-06-08,40.6,90,93,AHY,F
e831-8422c,Atlanta,CACH,2750-41438,B,2016-06-13,10.1,62,53,AHY,F
h168-1379t,Atlanta,NOCA,2651-52448,B,2016-06-13,38.6,94,100,AHY,M
o876-5119n,Atlanta,GRCA,2701-39058,B,2016-06-13,30.9,92,96,AHY,M
m892-3987c,Atlanta,GRCA,2701-39057,B,2016-06-14,35.1,93,92,AHY,M
x838-6137l,Atlanta,NOCA,2701-39026,B,2016-06-15,40.5,95,103,AHY,F
n179-2469d,Atlanta,NOCA,2701-39028,B,2016-06-15,42.2,94,97,AHY,F
e649-8171s,Atlanta,NOCA,2701-39059,B,2016-06-15,38.5,95,102,AHY,M
x536-7869z,Atlanta,NOCA,2701-39025,B,2016-06-15,38.3,94,97,AHY,F
e224-5359r,Atlanta,CACH,2730-24968,B,2016-06-15,10.2,66,56,AHY,M
h126-4622t,Atlanta,GRCA,2651-52446,B,2016-06-15,32.9,93,96,AHY,M
r594-9151p,Atlanta,AMRO,1352-27767,B,2016-06-18,73.8,123,90,AHY,F
g162-2109u,Atlanta,NOCA,2651-47448,R,2016-06-18,40.3,91,95,AHY,F
x900-8736j,Atlanta,NOCA,2701-39060,B,2016-06-19,42.6,98,102,AHY,M
b530-3139w,Atlanta,NOCA,2701-39053,B,2016-06-19,39.1,93,99,AHY,M
l682-2413h,Atlanta,GRCA,2651-52449,B,2016-06-21,34.4,89,95,ASY,M
o910-4858j,Atlanta,GRCA,2651-52450,B,2016-06-22,36.6,89,92,ASY,M
g105-9619n,Atlanta,GRCA,2651-52451,B,2016-06-22,36.6,90,89,SY,M
k630-8868y,Atlanta,GRCA,2651-52452,B,2016-06-23,33.5,86,89,ASY,F
f885-7943l,Atlanta,GRCA,2651-52454,B,2016-06-23,34.3,92,93,ASY,M
k838-5242i,Atlanta,GRCA,2651-52455,B,2016-06-23,34.7,90,94,ASY,M
d643-5527i,Atlanta,GRCA,2651-52456,B,2016-06-23,34.6,92,91,ASY,M
b359-6770l,Atlanta,GRCA,2651-52457,B,2016-06-23,33.8,90,91,ASY,M
d688-7080e,Atlanta,GRCA,2651-52458,B,2016-06-23,35.7,88,93,ASY,F
n405-4464j,Atlanta,GRCA,2651-52453,B,2016-06-23,34.2,92,96,ASY,M
l464-6802f,Atlanta,GRCA,2651-52459,B,2016-06-24,34.7,92,93,SY,M
z661-9859b,Atlanta,GRCA,2651-52460,B,2016-06-24,35.9,89,94,ASY,M
x839-8691i,Atlanta,GRCA,2651-52461,B,2016-06-24,35.4,91,94,ASY,M
f505-5195z,Atlanta,NOCA,2641-96786,R,2017-03-22,41.2,90,98,AHY,M
u140-3711f,Atlanta,NOCA,2651-56791,B,2017-03-22,42.3,91,92,AHY,M
r218-8096u,Atlanta,NOCA,2651-56792,B,2017-03-22,37.6,90,90,AHY,F
t605-4104c,Atlanta,NOCA,2651-56793,B,2017-03-22,41.4,90,92,AHY,M
f422-2893n,Atlanta,NOCA,2651-56789,B,2017-03-23,41.9,95,94,AHY,M
w763-9894a,Atlanta,NOCA,2651-56794,B,2017-03-25,37.6,92,104,AHY,M
a500-7553k,Atlanta,CACH,2750-41619,R,2017-03-25,9.7,61,50,AHY,M
q711-3932c,Atlanta,CACH,2710-53723,R,2017-03-25,9,60,45,AHY,F
p766-8006i,Atlanta,AMRO,1292-64591,B,2017-03-25,78.4,127,95,AHY,F
x871-9255m,Atlanta,CACH,2750-41309,B,2017-03-27,9.6,57,50,AHY,F
